#separator:tab
#html:false
#columns: Marathi	Pronunciation	Hindi	English	ExampleMarathi	ExampleEnglish
जोडा	joḍā	जूते की जोड़ी	pair of footwear	नवा जोडा घेतला.	Bought a new pair of footwear.
चप्पल	chappal	चप्पल	sandals / slippers	घरात चप्पल घाल.	Wear slippers at home.
रुमाल	rumāl	रुमाल	handkerchief	रुमाल सोबत ठेव.	Keep a handkerchief with you.
कुर्ता	kurtā	कुर्ता	kurta	सणाला कुर्ता घाल.	Wear a kurta for the festival.
ब्लाउज	blāuj	ब्लाउज	blouse	साडीवर ब्लाउज शिव.	Stitch a blouse for the sari.
जाकीट	jākīṭ	जैकेट	jacket	पावसात जाकीट घाल.	Wear a jacket in the rain.
मोजे	moje	मोजे	socks	बुटात मोजे घाल.	Wear socks in shoes.
पगडी	pagḍī	पगड़ी	turban	लग्नात पगडी बांधतात.	They tie turbans at weddings.
गाउन	gāun	गाउन	gown / dress	तिने नवा गाउन घेतला.	She bought a new gown.
पायजमा	pāyjamā	पायजामा	pyjamas	झोपताना पायजमा घाल.	Wear pyjamas while sleeping.
बेल्ट	belṭ	बेल्ट	belt	पँटला बेल्ट लाव.	Put a belt on the pants.
गमबूट	gambūṭ	गमबूट	gumboots	चिखलात गमबूट घाल.	Wear gumboots in the mud.
आनंद	ānand	खुशी	happiness	बातमी ऐकून आनंद झाला.	Hearing the news brought joy.
दुःख	duḥkh	दुख	sorrow	त्याला दुःख झालं.	He felt sorrow.
राग	rāg	गुस्सा	anger	रागावर नियंत्रण ठेव.	Control your anger.
भीती	bhītī	डर	fear	अंधाराची भीती वाटते.	I fear the darkness.
प्रेम	prem	प्यार	love	आईचं प्रेम अनमोल.	A mother’s love is priceless.
हसू	hasū	हँसी	laughter	त्याचं हसू छान आहे.	His laughter is nice.
रडणे	raḍaṇe	रोना	crying	मूल रडतंय, त्याला घे.	The baby is crying, pick him up.
आश्चर्य	āśchary	आश्चर्य	surprise	बातमी ऐकून आश्चर्य वाटलं.	Hearing the news was surprising.
कंटाळा	kaṇṭāḷā	ऊब	boredom	मला कंटाळा आलाय.	I am bored.
थकवा	thakvā	थकान	tiredness	कामाने थकवा आला.	Work made me tired.
भूक	bhūk	भूख	hunger	मला भूक लागली.	I am hungry.
तहान	tahān	प्यास	thirst	मला तहान लागली.	I am thirsty.
झोप	jhop	नींद	sleepiness	मला झोप येतेय.	I feel sleepy.
आजारी	ājārī	बीमार	sick / ill	तो आजारी आहे.	He is sick.
बरा	barā	ठीक	well / fine	आता मी बरा आहे.	I am fine now.
उत्साह	utsāh	उत्साह	enthusiasm	खेळासाठी उत्साह हवा.	Enthusiasm is needed for the game.
लाज	lāj	शर्म	shyness / shame	तिला लाज वाटली.	She felt shy.
अभिमान	abhimān	गर्व	pride	आईला माझा अभिमान वाटतो.	Mother is proud of me.
काळजी	kāḷjī	चिंता	worry	काळजी करू नकोस.	Do not worry.
शांत	śānt	शांत	calm / quiet	शांत बसून ऐक.	Sit quietly and listen.
वर्ग	varg	कक्षा	class / classroom	वर्गात शांत बसा.	Sit quietly in class.
परीक्षा	parīkṣā	परीक्षा	exam	उद्या गणिताची परीक्षा.	Maths exam tomorrow.
अभ्यास	abhyās	पढ़ाई	study	रोज अभ्यास कर.	Study every day.
धडा	dhaḍā	पाठ	lesson	आज नवा धडा शिकू.	We will learn a new lesson today.
प्रश्न	praśn	सवाल	question	प्रश्न नीट वाच.	Read the question carefully.
उत्तर	uttar	जवाब	answer	उत्तर बरोबर लिहि.	Write the correct answer.
गृहपाठ	gṛhapāṭh	गृहकार्य	homework	गृहपाठ वेळेत पूर्ण कर.	Complete homework on time.
गुण	guṇ	अंक	marks	त्याला चांगले गुण मिळाले.	He got good marks.
यश	yaś	सफलता	success	मेहनतीने यश मिळतं.	Hard work brings success.
विद्यालय	vidyālay	विद्यालय	school (formal)	विद्यालय सकाळी भरते.	School starts in the morning.
महाविद्यालय	mahāvidyālay	महाविद्यालय	college	तो महाविद्यालयात शिकतो.	He studies in college.
ग्रंथालय	granthālay	पुस्तकालय	library	ग्रंथालयात पुस्तकं वाच.	Read books in the library.
वही	vahī	कॉपी	notebook	वहीत लिहून घे.	Write it in the notebook.
पेन्सिल	pensil	पेंसिल	pencil	पेन्सिलने चित्र काढ.	Draw with a pencil.
खोडरबर	khoḍarbar	रबड़	eraser	चूक खोडरबरने खोड.	Erase the mistake.
काम	kām	काम	work	काम वेळेत पूर्ण कर.	Finish work on time.
कार्यालय	kāryālay	कार्यालय	office	वडील कार्यालयात जातात.	Father goes to the office.
पगार	pagār	वेतन	salary	महिनाअखेर पगार मिळतो.	Salary comes at month end.
सुट्टी	suṭṭī	छुट्टी	leave / holiday	उद्या सुट्टी घे.	Take leave tomorrow.
बैठक	baiṭhak	बैठक	meeting	दुपारी बैठक आहे.	There is a meeting in the afternoon.
अभियंता	abhiyantā	इंजीनियर	engineer	तो अभियंता आहे.	He is an engineer.
वकील	vakīl	वकील	lawyer	वकिलांचा सल्ला घे.	Take the lawyer’s advice.
शिपाई	śipāī	चपरासी	peon / attendant	शिपाई टपाल आणतो.	The peon brings mail.
व्यापारी	vyāpārī	व्यापारी	merchant	व्यापारी बाजारात विकतो.	The merchant sells in the market.
नोकरी	nokarī	नौकरी	job	त्याला नवीन नोकरी मिळाली.	He got a new job.
संगणक	saṅgaṇak	कंप्यूटर	computer	संगणकावर काम कर.	Work on the computer.
फोन	phon	फोन	phone	फोनवर बोला.	Talk on the phone.
पत्र	patr	पत्र	letter	आईला पत्र लिहि.	Write a letter to mother.
वर्तमानपत्र	vartamānpatr	अखबार	newspaper	सकाळी वर्तमानपत्र वाच.	Read the newspaper in the morning.
गणित	gaṇit	गणित	mathematics	गणिताचा अभ्यास कर.	Study mathematics.
धुणे	dhuṇe	धोना	to wash	हात धुऊन ये.	Wash your hands and come.
पुसणे	pusaṇe	पोंछना	to wipe	टेबल पुसून घे.	Wipe the table.
शिजवणे	śijavaṇe	पकाना	to cook	भात शिजव.	Cook the rice.
कापणे	kāpaṇe	काटना	to cut	भाजी कापून घे.	Cut the vegetables.
मिसळणे	misaḷaṇe	मिलाना	to mix	पीठात पाणी मिसळ.	Mix water into the flour.
ओतणे	otaṇe	डालना	to pour	ग्लासात पाणी ओत.	Pour water into the glass.
उचलणे	uchaḷaṇe	उठाना	to lift	पिशवी उचल.	Lift the bag.
फेकणे	phekaṇe	फेंकना	to throw	चेंडू फेक.	Throw the ball.
पकडणे	pakaḍaṇe	पकड़ना	to catch / to hold	चेंडू पकड.	Catch the ball.
सोडणे	soḍaṇe	छोड़ना	to leave / to release	हात सोड.	Leave my hand.
शोधणे	śodhaṇe	ढूँढना	to search	चावी शोध.	Search for the key.
सापडणे	sāpaḍaṇe	मिलना	to be found	चावी सापडली.	The key was found.
विसरणे	visaraṇe	भूलना	to forget	नाव विसरलो.	I forgot the name.
आठवणे	āṭhavaṇe	याद करना	to remember	धडा आठव.	Remember the lesson.
प्रयत्न करणे	prayatn karaṇe	कोशिश करना	to try	पुन्हा प्रयत्न कर.	Try again.
सुरू करणे	surū karaṇe	शुरू करना	to start	काम सुरू कर.	Start the work.
थांबवणे	thāmbavaṇe	रोकना	to stop (something)	गाडी थांबव.	Stop the vehicle.
बदलणे	badaḷaṇe	बदलना	to change	कपडे बदल.	Change your clothes.
वाढणे	vāḍhaṇe	बढ़ना	to grow / to increase	झाड वाढतंय.	The tree is growing.
कमी होणे	kamī hoṇe	कम होना	to decrease	ताप कमी झाला.	The fever decreased.
भेटणे	bheṭaṇe	मिलना	to meet	उद्या मला भेट.	Meet me tomorrow.
पाठवणे	pāṭhavaṇe	भेजना	to send	पत्र पाठव.	Send the letter.
मिळणे	miḷaṇe	मिलना	to get / to receive	मला बक्षीस मिळालं.	I received a prize.
हरवणे	haravaṇe	खोना	to lose	चावी हरवली.	The key is lost.
जिंकणे	jiṅkaṇe	जीतना	to win	सामना जिंक.	Win the match.
हरणे	haraṇe	हारना	to lose (a game)	खेळात हरू नकोस.	Do not lose the game.
पोहणे	pohaṇe	तैरना	to swim	तलावात पोह.	Swim in the lake.
नाचणे	nāchaṇe	नाचना	to dance	सणाला नाच.	Dance at the festival.
गाणे	gāṇe	गाना	to sing	गोड गाणं गा.	Sing a sweet song.
वाजवणे	vājavaṇe	बजाना	to play (instrument)	तबला वाजव.	Play the tabla.
स्फुंदणे	sphundaṇe	सिसकना	to sob	मूल स्फुंदत होतं.	The child was sobbing.
खिदळणे	khidaḷaṇe	खिलखिलाना	to giggle	मुलं खिदळत होती.	The children were giggling.
आडवे होणे	āḍve hoṇe	लेटना	to lie down	थोडं आडवं हो.	Lie down a little.
जागणे	jāgaṇe	जागना	to stay awake	रात्री उशिरापर्यंत जागू नकोस.	Do not stay up late.
स्वप्न पाहणे	svapn pāhaṇe	सपना देखना	to dream	मोठी स्वप्नं पाहा.	Dream big dreams.
ओळखणे	oḷakhaṇe	पहचानना	to recognize	तू मला ओळखलंस का?	Did you recognize me?
शिकवणे	śikavaṇe	पढ़ाना	to teach	शिक्षक धडा शिकवतात.	The teacher teaches the lesson.
दाखवणे	dākhavaṇe	दिखाना	to show	वाट दाखव.	Show the way.
लपवणे	lapavaṇe	छिपाना	to hide	खेळणं लपवू नकोस.	Do not hide the toy.
मोजणे	mojaṇe	गिनना	to count	एक ते दहा मोज.	Count from one to ten.
तीस	tīs	तीस	thirty	तीस रुपये द्या.	Give thirty rupees.
चाळीस	chāḷīs	चालीस	forty	चाळीस मुलं आली.	Forty children came.
पन्नास	pannās	पचास	fifty	पन्नास टक्के सूट.	Fifty percent discount.
साठ	sāṭh	साठ	sixty	साठ वर्षं पूर्ण.	Sixty years complete.
सत्तर	sattar	सत्तर	seventy	सत्तर रुपये उरले.	Seventy rupees remain.
ऐंशी	ainśī	अस्सी	eighty	ऐंशी गुण मिळाले.	Got eighty marks.
नव्वद	navvad	नब्बे	ninety	नव्वद दिवसांची सुट्टी.	Ninety days of leave.
शंभर	śambhar	सौ	hundred	शंभर रुपये द्या.	Give a hundred rupees.
पहिला	pahilā	पहला	first	पहिला धडा सोपा आहे.	The first lesson is easy.
दुसरा	dusrā	दूसरा	second	दुसरा पर्याय निवड.	Choose the second option.
तिसरा	tisrā	तीसरा	third	तिसऱ्या मजल्यावर जा.	Go to the third floor.
शेवटचा	śevaṭchā	आखिरी	last	शेवटचा प्रश्न सोडव.	Solve the last question.
पुढचा	puḍhchā	अगला	next	पुढचा धडा उघड.	Open the next lesson.
आणि	āṇi	और	and	आई आणि वडील आले.	Mother and father came.
पण	paṇ	लेकिन	but	पाऊस पडला पण आम्ही गेलो.	It rained but we went.
कारण	kāraṇ	क्योंकि	because	शाळेत जा कारण परीक्षा आहे.	Go to school because there is an exam.
म्हणून	mhaṇūn	इसलिए	therefore / so	पाऊस होता म्हणून थांबलो.	It was raining so we stopped.
जर	jar	अगर	if	जर पाऊस आला तर थांब.	If it rains, stop.
तर	tar	तो	then	अभ्यास कर तर यश मिळेल.	Study, then you will succeed.
जेव्हा	jevhā	जब	when	जेव्हा येतील तेव्हा सांग.	Tell me when they come.
जिथे	jithe	जहाँ	where	जिथे शाळा तिथे घर.	Home is where the school is.
तसंच	tasach	भी	also / too	मी तसंच येतो.	I am coming too.
किंवा	kinvā	या	or	चहा किंवा कॉफी घे.	Take tea or coffee.
आधी	ādhī	पहले	before	जेवणाआधी हात धू.	Wash hands before eating.
नंतर	nantar	बाद में	after / later	नंतर भेटू.	See you later.
दिवाळी	divāḷī	दिवाली	Diwali (festival of lights)	दिवाळीत दिवे लावतात.	Lamps are lit on Diwali.
होळी	hoḷī	होली	Holi (festival of colors)	होळीला रंग खेळतात.	Colors are played on Holi.
गणपती	gaṇpatī	गणपति	Lord Ganpati / Ganesh festival	गणपती बाप्पा मोरया.	Hail Lord Ganpati.
दसरा	dasarā	दशहरा	Dussehra	दसऱ्याला आपट्याची पानं देतात.	Apta leaves are given on Dussehra.
गुढीपाडवा	guḍhīpāḍavā	गुड़ी पड़वा	Gudi Padwa (Marathi New Year)	गुढीपाडव्याला गुढी उभारतात.	The gudi is raised on Gudi Padwa.
रक्षाबंधन	rakṣābandhan	रक्षाबंधन	Raksha Bandhan	रक्षाबंधनाला राखी बांधतात.	Rakhis are tied on Raksha Bandhan.
मकरसंक्रांत	makarsaṅkrānt	मकर संक्रांति	Makar Sankranti	संक्रांतीला तीळगूळ वाटतात.	Sesame sweets are shared on Sankranti.
ईद	īd	ईद	Eid	ईदला शीरखुरमा खातात.	Sheer khurma is eaten on Eid.
नाताळ	nātāḷ	क्रिसमस	Christmas	नाताळात केक कापतात.	Cake is cut on Christmas.
शिवजयंती	śivjayantī	शिवाजी जयंती	Shivaji Jayanti	शिवजयंती मोठ्या उत्साहात साजरी होते.	Shivaji Jayanti is celebrated grandly.
स्वातंत्र्यदिन	svātantryadin	स्वतंत्रता दिवस	Independence Day	पंधरा ऑगस्ट स्वातंत्र्यदिन.	Fifteenth August is Independence Day.
प्रजासत्ताक दिन	prajāsattāk din	गणतंत्र दिवस	Republic Day	सव्वीस जानेवारी प्रजासत्ताक दिन.	Twenty-sixth January is Republic Day.
मदत	madat	मदद	help	मदत करा.	Please help.
पोलीस	polīs	पुलिस	police	पोलिसांना बोलवा.	Call the police.
आग	āg	आग	fire	इथे आग लागली आहे.	There is a fire here.
सावधान	sāvdhān	सावधान	careful / caution	सावधान राहा.	Stay careful.
घाई	ghāī	जल्दी	hurry	घाई करू नकोस.	Do not hurry.
परवानगी	parvāngī	इजाजत	permission	आत येण्याची परवानगी आहे का?	May I come in?
आभार	ābhār	आभार	gratitude	तुमचे आभार मानतो.	I am grateful to you.
क्षमा	kṣamā	क्षमा	forgiveness	मला क्षमा करा.	Forgive me.
नशीब	naśīb	किस्मत	luck	तुला शुभेच्छा, नशीब बलवान होवो.	Good luck to you.
संधी	sandhī	मौका	opportunity	संधीचं सोनं कर.	Make the most of the opportunity.
नियम	niyam	नियम	rule	नियम पाळा.	Follow the rules.
आराम	ārām	आराम	rest	थोडा आराम कर.	Rest a little.
महत्त्व	mahattv	महत्व	importance	वेळेला महत्त्व द्या.	Give importance to time.
नेहमी	nehmī	हमेशा	always	नेहमी खरं बोला.	Always speak the truth.
कधीच	kadhīch	कभी नहीं	never	मी कधीच खोटं बोलत नाही.	I never lie.
कधीकधी	kadhīkadhī	कभी-कभी	sometimes	कधीकधी पाऊस पडतो.	Sometimes it rains.
लगेच	lagech	तुरंत	immediately	लगेच ये.	Come immediately.
हळूहळू	haḷūhaḷū	धीरे-धीरे	slowly (gradually)	हळूहळू शिका.	Learn slowly.
पुन्हा	punhā	फिर से	again	पुन्हा प्रयत्न कर.	Try again.
अजून	ajūn	अभी	still / yet	जेवण अजून तयार नाही.	The food is not ready yet.
आधीच	ādhīch	पहले से	already	मी आधीच जेवलो.	I have already eaten.
लवकर	lavkar	जल्दी	soon / early	लवकर ये.	Come soon.
उशिरा	uśirā	देर से	late	उशिरा येऊ नकोस.	Do not come late.
रोज	roj	रोज	daily	रोज व्यायाम कर.	Exercise daily.
जोरात	jorāt	जोर से	loudly	जोरात बोलू नकोस.	Do not speak loudly.
नीट	nīṭ	ठीक से	properly	काम नीट कर.	Do the work properly.
चुकून	chukūn	गलती से	by mistake	चुकून पडलं.	It fell by mistake.
मुद्दाम	muddām	जानबूझकर	deliberately	त्याने मुद्दाम केलं.	He did it deliberately.
एकत्र	ekatr	साथ	together	आपण एकत्र जाऊ.	We will go together.
एकटा	ekṭā	अकेला	alone	तो एकटा राहतो.	He lives alone.
फक्त	phakt	सिर्फ	only	फक्त दोन घे.	Take only two.
देखील	dekhīl	भी	also / even	मी देखील येतो.	I am coming too.
खरंच	kharach	सच में	really / truly	हे खरंच छान आहे.	This is really nice.
नक्की	nakkī	जरूर	surely / definitely	मी नक्की येईन.	I will surely come.
कदाचित	kadāchit	शायद	maybe / perhaps	कदाचित पाऊस येईल.	Maybe it will rain.
जवळजवळ	javaḷjavaḷ	लगभग	almost	काम जवळजवळ पूर्ण झालं.	The work is almost done.
स्वतः	svataḥ	खुद	oneself / myself	मी स्वतः केलं.	I did it myself.
परत	parat	वापस	back / return	लवकर परत ये.	Come back soon.
बाहेरून	bāherūn	बाहर से	from outside	बाहेरून आवाज येतोय.	Sound is coming from outside.
आतून	ātūn	अंदर से	from inside	आतून कडी लाव.	Bolt it from inside.
वरून	varūn	ऊपर से	from above	वरून पाणी पडतंय.	Water is falling from above.
खालून	khālūn	नीचे से	from below	खालून वर बघ.	Look up from below.
समोरून	samorūn	सामने से	from the front	समोरून गाडी येते आहे.	A vehicle is coming from the front.
झाड	jhāḍ	पेड़	tree	झाडाखाली बसूया.	Let us sit under the tree.
फूल	phūl	फूल	flower	बागेत सुंदर फुलं आहेत.	There are beautiful flowers in the garden.
पान	pān	पत्ता	leaf	झाडाची पानं हिरवी आहेत.	The tree leaves are green.
बी	bī	बीज	seed	जमिनीत बी पेर.	Sow seeds in the soil.
मूळ	mūḷ	जड़	root	झाडाची मुळं खोल जातात.	Tree roots go deep.
फांदी	phāndī	डाली	branch	फांदीवर पक्षी बसला.	A bird sat on the branch.
गवत	gavat	घास	grass	गाय गवत खाते.	The cow eats grass.
जंगल	jaṅgal	जंगल	forest	जंगलात वाघ राहतो.	The tiger lives in the forest.
तलाव	talāv	तालाब	lake / pond	तलावात कमळं आहेत.	There are lotuses in the lake.
धबधबा	dhabdhabā	झरना	waterfall	पावसाळ्यात धबधबा छान दिसतो.	The waterfall looks nice in monsoon.
विहीर	vihīr	कुआँ	well	विहिरीतलं पाणी गोड आहे.	Well water is sweet.
माती	mātī	मिट्टी	soil / clay	काळी माती सुपीक असते.	Black soil is fertile.
दगड	dagaḍ	पत्थर	stone	रस्त्यात दगड आहेत.	There are stones on the road.
वाळू	vāḷū	रेत	sand	समुद्रकिनारी वाळू असते.	There is sand on the beach.
सूर्य	sūry	सूरज	sun	सूर्य पूर्वेला उगवतो.	The sun rises in the east.
चंद्र	chandr	चाँद	moon	रात्री चंद्र दिसतो.	The moon appears at night.
तारा	tārā	तारा	star	आकाशात तारे चमकतात.	Stars twinkle in the sky.
आकाश	ākāś	आसमान	sky	आकाश निळं आहे.	The sky is blue.
पृथ्वी	pṛthvī	पृथ्वी	earth	पृथ्वी गोल आहे.	The earth is round.
हवा	havā	हवा	air	स्वच्छ हवा आरोग्यासाठी चांगली.	Clean air is good for health.
शिखर	śikhar	चोटी	peak / summit	कळसूबाई महाराष्ट्राचं सर्वोच्च शिखर.	Kalsubai is Maharashtra’s highest peak.
दरी	darī	घाटी	valley	दरीत धुकं दाटलंय.	Fog has gathered in the valley.
किनारा	kinārā	किनारा	shore / bank	नदीच्या किनारी बैस.	Sit on the riverbank.
बेट	beṭ	द्वीप	island	सिंधुदुर्ग किल्ला बेटावर आहे.	Sindhudurg fort is on an island.
वाळवंट	vāḷvaṇṭ	रेगिस्तान	desert	वाळवंटात पाणी दुर्मीळ.	Water is scarce in the desert.
हिम	him	बर्फ	snow / ice	डोंगरावर हिम पडतं.	Snow falls on the mountain.
चिखल	chikhal	कीचड़	mud	पावसात चिखल होतो.	There is mud in the rain.
सावली	sāvalī	छाँव	shade / shadow	झाडाच्या सावलीत बैस.	Sit in the tree’s shade.
पर्यावरण	paryāvaraṇ	पर्यावरण	environment	पर्यावरण स्वच्छ ठेवा.	Keep the environment clean.
प्रदूषण	pradūṣaṇ	प्रदूषण	pollution	प्रदूषण टाळा.	Avoid pollution.
झरा	jharā	सोता	spring (water source)	डोंगरातून झरा वाहतो.	A spring flows from the hill.
समुद्रकिनारा	samudrakinārā	समुद्र तट	seashore	कोकण समुद्रकिनारा सुंदर आहे.	The Konkan seashore is beautiful.
वळण	vaḷaṇ	मोड़	turn / bend	घाटात अनेक वळणं आहेत.	There are many bends in the ghat.
तळं	taḷa	तल	bottom / base	विहिरीचं तळं खोल आहे.	The well’s bottom is deep.
उगवणे	ugavaṇe	उगना	to sprout / to rise (sun)	सूर्य उगवला.	The sun rose.
सुतार	sutār	बढ़ई	carpenter	सुतार खुर्ची बनवतो.	The carpenter makes chairs.
लोहार	lohār	लुहार	blacksmith	लोहार अवजारे बनवतो.	The blacksmith makes tools.
सोनार	sonār	सुनार	goldsmith	सोनार दागिने बनवतो.	The goldsmith makes jewelry.
शिंपी	śimpī	दर्जी	tailor	शिंपी कपडे शिवतो.	The tailor stitches clothes.
न्हावी	nhāvī	नाई	barber	न्हावी केस कापतो.	The barber cuts hair.
धोबी	dhobī	धोबी	washerman	धोबी कपडे धुतो.	The washerman washes clothes.
माळी	māḷī	माली	gardener	माळी झाडांना पाणी घालतो.	The gardener waters the plants.
गवळी	gavaḷī	ग्वाला	milkman	गवळी सकाळी दूध आणतो.	The milkman brings milk in the morning.
परिचारिका	parichārikā	नर्स	nurse	परिचारिका रुग्णांची काळजी घेते.	The nurse cares for patients.
औषधविक्रेता	auṣadhavikretā	दवा विक्रेता	pharmacist	औषधविक्रेता औषध देतो.	The pharmacist gives medicine.
सैनिक	sainik	सैनिक	soldier	सैनिक देशाचे रक्षण करतो.	The soldier protects the country.
लेखक	lekhak	लेखक	writer	लेखक पुस्तक लिहितो.	The writer writes books.
कवी	kavī	कवि	poet	कवी कविता करतो.	The poet composes poems.
गायक	gāyak	गायक	singer	गायक छान गातो.	The singer sings well.
चित्रकार	chitrakār	चित्रकार	painter	चित्रकार चित्र काढतो.	The painter paints pictures.
छायाचित्रकार	chhāyāchitrakār	फोटोग्राफर	photographer	छायाचित्रकार फोटो काढतो.	The photographer takes photos.
स्वयंपाकी	svayampākī	रसोइया	cook	स्वयंपाकी जेवण बनवतो.	The cook prepares meals.
नोकर	nokar	नौकर	servant	नोकर घरकाम करतो.	The servant does housework.
मालक	mālak	मालिक	owner	घरमालक भाडं घेतो.	The landlord takes rent.
शास्त्रज्ञ	śāstrajñ	वैज्ञानिक	scientist	शास्त्रज्ञ संशोधन करतो.	The scientist researches.
विद्यार्थी	vidyārthī	विद्यार्थी	student	विद्यार्थी अभ्यास करतात.	Students study.
पालक	pālak	अभिभावक	parent / guardian	पालक सभेला या.	Parents, please come to the meeting.
नागरिक	nāgarik	नागरिक	citizen	प्रत्येक नागरिकाने मतदान करावं.	Every citizen should vote.
नेता	netā	नेता	leader	नेता भाषण करतो.	The leader gives a speech.
पोलीस अधिकारी	polīs adhikārī	पुलिस अधिकारी	police officer	पोलीस अधिकारी मदत करतात.	Police officers help.
मुख्याध्यापक	mukhyādhyāpak	प्रधानाध्यापक	principal	मुख्याध्यापक सभेत बोलले.	The principal spoke at the assembly.
फेरीवाला	pherīvālā	फेरीवाला	street vendor	फेरीवाला गल्लीतून भाजी विकतो.	The vendor sells vegetables in the lane.
कामगार	kāmgār	मजदूर	worker / laborer	कामगार इमारत बांधतात.	Workers build the building.
चालक	chālak	चालक	driver	चालक बस चालवतो.	The driver drives the bus.
वाहक	vāhak	कंडक्टर	conductor	वाहक तिकीट देतो.	The conductor gives tickets.
हळद	haḷad	हल्दी	turmeric	आमटीत हळद घाल.	Add turmeric to the dal.
मसाला	masālā	मसाला	spice mix	गोडा मसाला घाल.	Add garam masala.
जिरं	jira	जीरा	cumin	फोडणीत जिरं घाल.	Add cumin to the tempering.
मोहरी	moharī	सरसों	mustard seeds	तेलात मोहरी तडतडू दे.	Let mustard seeds splutter in oil.
हिंग	hiṅg	हींग	asafoetida	वरणात चिमूटभर हिंग घाल.	Add a pinch of asafoetida to dal.
लसूण	lasūṇ	लहसुन	garlic	चटणीत लसूण घाल.	Add garlic to the chutney.
आलं	āla	अदरक	ginger	चहात आलं घाल.	Add ginger to the tea.
कोथिंबीर	kothimbīr	धनिया	coriander leaves	भाजीवर कोथिंबीर घाल.	Garnish curry with coriander.
कढीपत्ता	kaḍhīpattā	करी पत्ता	curry leaves	फोडणीत कढीपत्ता घाल.	Add curry leaves to tempering.
तेल	tel	तेल	oil	कढईत तेल घाल.	Pour oil in the wok.
तूप	tūp	घी	ghee	वरणावर तूप घाल.	Pour ghee on dal.
दही	dahī	दही	curd / yogurt	जेवणासोबत दही घे.	Have curd with meals.
ताक	tāk	छाछ	buttermilk	उन्हाळ्यात ताक प्या.	Drink buttermilk in summer.
पनीर	panīr	पनीर	paneer (cottage cheese)	पनीरची भाजी कर.	Make paneer curry.
गूळ	gūḷ	गुड़	jaggery	पुरणात गूळ घालतात.	Jaggery goes into puran.
मध	madh	शहद	honey	दुधात मध घाल.	Add honey to milk.
लिंबू	limbū	नींबू	lemon	सरबतात लिंबू पिळ.	Squeeze lemon into sherbet.
चिंच	chiṅch	इमली	tamarind	आमटीत चिंच घाल.	Add tamarind to dal.
नारळ	nāraḷ	नारियल	coconut	चटणीत ओलं खोबरं घाल.	Add fresh coconut to chutney.
शेंगदाणे	śeṅgdāṇe	मूंगफली	peanuts	चिवड्यात शेंगदाणे घाल.	Add peanuts to chiwda.
गहू	gahū	गेहूँ	wheat	गव्हाचं पीठ दळून आण.	Get wheat flour ground.
तांदूळ	tāndūḷ	चावल	rice (uncooked)	तांदूळ धुऊन घे.	Wash the rice.
ज्वारी	jvārī	ज्वार	sorghum (jowar)	ज्वारीची भाकरी पौष्टिक.	Jowar bhakri is nutritious.
पोहे	pohe	पोहा	flattened rice snack	सकाळी कांदेपोहे खाऊ.	We will eat kande-pohe in the morning.
पुरणपोळी	puraṇpoḷī	पूरणपोली	sweet lentil flatbread	सणाला पुरणपोळी करतात.	Puran poli is made on festivals.
मोदक	modak	मोदक	modak (sweet dumpling)	गणपतीला मोदक आवडतात.	Ganpati loves modaks.
लाडू	lāḍū	लड्डू	laddu (sweet ball)	बेसनाचे लाडू वाट.	Distribute besan laddus.
भजी	bhajī	पकौड़ी	fritters	पावसात कांदाभजी खा.	Eat onion fritters in the rain.
वडापाव	vaḍāpāv	वडापाव	vada pav (Mumbai burger)	मुंबईचा वडापाव प्रसिद्ध.	Mumbai’s vada pav is famous.
मिसळ	misaḷ	मिसळ	misal (spicy curry)	कोल्हापूरी मिसळ तिखट असते.	Kolhapuri misal is spicy.
थाळी	thāḷī	थाली	thali (full meal platter)	मराठमोळी थाळी मागव.	Order the Marathi thali.
लोणचं	loṇcha	अचार	pickle	आंब्याचं लोणचं छान लागतं.	Mango pickle tastes good.
पापड	pāpaḍ	पापड़	papad (crisp)	तळलेले पापड दे.	Give fried papads.
कोशिंबीर	kośimbīr	सलाद	salad (Marathi style)	काकडीची कोशिंबीर कर.	Make cucumber salad.
आमटी	āmṭī	दाल	dal (Marathi style)	वरणभात आमटी छान लागते.	Dal-rice tastes good.
स्वयंपाकघर	svayampākghar	रसोई	kitchen	आई स्वयंपाकघरात आहे.	Mother is in the kitchen.
दिवाणखाना	divāṇkhānā	बैठक	living room	पाहुणे दिवाणखान्यात बसले.	Guests sat in the living room.
झोपण्याची खोली	jhopaṇyāchī kholī	सोने का कमरा	bedroom	झोपण्याची खोली वर आहे.	The bedroom is upstairs.
स्नानगृह	snāngṛh	स्नानघर	bathroom	स्नानगृह कुठे आहे?	Where is the bathroom?
देवघर	devghar	पूजा घर	prayer room	सकाळी देवघरात दिवा लावतात.	A lamp is lit in the prayer room.
अंगण	āṅgaṇ	आँगन	courtyard	अंगणात तुळस आहे.	There is tulsi in the courtyard.
गच्ची	gachchhī	छत	terrace / rooftop	संध्याकाळी गच्चीवर जा.	Go to the terrace in the evening.
मजला	majlā	मंजिल	floor / storey	आम्ही दुसऱ्या मजल्यावर राहतो.	We live on the second floor.
जिना	jinā	सीढ़ी	stairs	जिन्याने वर जा.	Go up by the stairs.
पंखा	paṅkhā	पंखा	fan	पंखा लाव.	Switch on the fan.
टीव्ही	ṭīvhī	टीवी	TV	संध्याकाळी टीव्ही पाहतो.	I watch TV in the evening.
